								transaction amounts(you owe) / owed to you	individual totals
Item	Category	Vendor	Description	Amount	From	To	Action	gd	jn	gd	jn	CheckSum	gd	jn	IndCheckSum
Tue 12.13	Parking	Newport Centre W	NEWPORT CENTRE W GARAG JERSEY CITY NJ	2	jn	gd		2.00	0.00	-283.66	283.66	0.00	283.66	194.86	0.00
Tue 12.13	Shopping	TJ Maxx	TJMAXX #0133	10.88	jn	jn,gd		5.44	5.44	-289.10	289.10	0.00	289.10	200.30	0.00
Tue 12.13	Gift	Bath & Body Works	BATH & BODY WORKS 0537 JERSEY CITY NJ	26.39	jn	gd		26.39	0.00	-315.49	315.49	0.00	315.49	200.30	0.00
Tue 12.13	Gift	Target	TARGET 00018861 JERSEY CITY NJ	20	jn	gd		20.00	0.00	-335.49	335.49	0.00	335.49	200.30	0.00
Wed 12.14	Gift	Wal-Mart	WALMART.COM 800-966-6546 AR	63	jn	jn,gd		31.50	31.50	-366.99	366.99	0.00	366.99	231.80	0.00
Tue 12.20	Groceries	Patel Brothers	DDA PURCHASE *9701316035 PATEL BROTHERS JACKSON HEIGH * NY	24	jn	jn,gd		12.00	12.00	-378.99	378.99	0.00	378.99	243.80	0.00
Wed 12.21	Shopping	Wal-Mart	WM SUPERCENTER #3520 SECAUCUS NJ	7	jn	jn,gd		3.50	3.50	-382.49	382.49	0.00	382.49	247.30	0.00
Wed 12.21	Alcohol & Bars	Jersey City Buyrite LLC	JERSEY CITY BUYRITE LL JERSEY CITY NJ	63	jn	jn,gd		31.50	31.50	-413.99	413.99	0.00	413.99	278.80	0.00
Wed 12.21	Groceries	Fish Market	555 FISH MARKET JERSEY CITY NJ	26	jn	jn,gd		13.00	13.00	-426.99	426.99	0.00	426.99	291.80	0.00
Wed 12.21	Home Improvement	99c	99c store	4	jn	jn,gd		2.00	2.00	-428.99	428.99	0.00	428.99	293.80	0.00
Wed 12.21	Groceries	Sam's Club	SAMSCLUB #4774 SECAUCUS NJ	19.14	jn	jn,gd		9.57	9.57	-438.56	438.56	0.00	438.56	303.37	0.00
Fri 12.23	Groceries	Shop Rite	SHOPRITE HOBOKEN S1 HOBOKEN NJ	4.78	jn	jn,gd		2.39	2.39	-440.95	440.95	0.00	440.95	305.76	0.00
Fri 12.23	Groceries	Shop Rite	SHOPRITE HOBOKEN S1 HOBOKEN NJ	8.93	jn	jn,gd		4.47	4.47	-445.42	445.42	0.00	445.42	310.23	0.00
Fri 12.23	Shopping	Target	TARGET 00018861 JERSEY CITY NJ	5.88	jn	jn,gd		2.94	2.94	-448.36	448.36	0.00	448.36	313.17	0.00
Sun 12.25	Public Transportation	Lirrnytickets Qps Jamaica	LIRRNYTICKETS QPS JAMAICA NY	33	jn	jn,gd		16.50	16.50	-464.86	464.86	0.00	464.86	329.67	0.00
Mon 12.26	Public Transportation	Njt Pabt	NJT PABT 0921	14	jn	jn,gd		7.00	7.00	-471.86	471.86	0.00	471.86	336.67	0.00
